質問ID,質問タイトル,質問文,党派名,回答,人数,候補者数,割合
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,経済政策,17,47,0.3617021276595745
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,地方の活性化,11,47,0.23404255319148937
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,外交・安全保障政策,5,47,0.10638297872340426
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,災害対策,4,47,0.0851063829787234
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,子ども・教育政策,3,47,0.06382978723404255
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,社会保障政策,3,47,0.06382978723404255
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,農林水産政策,2,47,0.0425531914893617
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,政治とカネの問題など政治改革,1,47,0.02127659574468085
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,自民,エネルギー・環境政策,1,47,0.02127659574468085
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,子ども・教育政策,12,43,0.27906976744186046
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,経済政策,11,43,0.2558139534883721
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,社会保障政策,7,43,0.16279069767441862
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,農林水産政策,3,43,0.06976744186046512
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,地方の活性化,3,43,0.06976744186046512
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,政治とカネの問題など政治改革,2,43,0.046511627906976744
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,外交・安全保障政策,2,43,0.046511627906976744
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,行財政改革,1,43,0.023255813953488372
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,その他,1,43,0.023255813953488372
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,立民,エネルギー・環境政策,1,43,0.023255813953488372
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,経済政策,12,16,0.75
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,外交・安全保障政策,1,16,0.0625
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,社会保障政策,1,16,0.0625
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,地方の活性化,1,16,0.0625
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,国民,農林水産政策,1,16,0.0625
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,子ども・教育政策,7,15,0.4666666666666667
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,経済政策,4,15,0.26666666666666666
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,社会保障政策,1,15,0.06666666666666667
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,外交・安全保障政策,1,15,0.06666666666666667
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,その他,1,15,0.06666666666666667
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,維新,政治とカネの問題など政治改革,1,15,0.06666666666666667
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,れいわ,経済政策,7,7,1.0
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,参政,子ども・教育政策,1,1,1.0
0,取り組みたい分野,衆議院議員として最も取り組みたい分野を1つ選んでください。,共産,子ども・教育政策,1,1,1.0
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,自民,ある程度ある,39,47,0.8297872340425532
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,自民,大いにある,5,47,0.10638297872340426
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,自民,あまりない,2,47,0.0425531914893617
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,自民,回答しない,1,47,0.02127659574468085
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,立民,まったくない,29,43,0.6744186046511628
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,立民,あまりない,14,43,0.32558139534883723
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,国民,まったくない,12,16,0.75
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,国民,あまりない,4,16,0.25
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,維新,ある程度ある,10,15,0.6666666666666666
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,維新,あまりない,3,15,0.2
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,維新,まったくない,2,15,0.13333333333333333
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,れいわ,まったくない,7,7,1.0
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,参政,回答しない,1,1,1.0
1,改正政治資金規正法の効果,6月に成立した改正政治資金規正法は、議員への罰則強化や政治資金の透明化策などを盛り込んだ一方、政策活動費について10年後に領収書を公開する方法や、支出をチェックする第三者機関の設置などの制度設計が「検討事項」となっています。この改正法が、政治とカネの問題の再発防止にどの程度効果があると考えますか。,共産,まったくない,1,1,1.0
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,自民,賛成,30,47,0.6382978723404256
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,自民,回答しない,12,47,0.2553191489361702
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,自民,反対,5,47,0.10638297872340426
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,立民,賛成,41,43,0.9534883720930233
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,立民,回答しない,1,43,0.023255813953488372
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,立民,反対,1,43,0.023255813953488372
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,国民,賛成,16,16,1.0
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,維新,賛成,14,15,0.9333333333333333
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,維新,回答しない,1,15,0.06666666666666667
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,れいわ,賛成,7,7,1.0
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,参政,回答しない,1,1,1.0
2,政策活動費廃止の賛否,党から議員に支給される「政策活動費」を廃止することに賛成ですか。反対ですか。,共産,賛成,1,1,1.0
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,自民,反対,40,47,0.851063829787234
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,自民,回答しない,6,47,0.1276595744680851
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,自民,賛成,1,47,0.02127659574468085
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,立民,賛成,39,43,0.9069767441860465
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,立民,回答しない,3,43,0.06976744186046512
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,立民,反対,1,43,0.023255813953488372
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,国民,賛成,11,16,0.6875
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,国民,反対,3,16,0.1875
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,国民,回答しない,2,16,0.125
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,維新,賛成,15,15,1.0
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,れいわ,賛成,7,7,1.0
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,参政,回答しない,1,1,1.0
3,企業・団体献金禁止の賛否,「企業・団体献金」を禁止することに賛成ですか。反対ですか。,共産,賛成,1,1,1.0
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,自民,賃上げ環境の整備,38,47,0.8085106382978723
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,自民,低所得世帯への支援,4,47,0.0851063829787234
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,自民,家計への支援,4,47,0.0851063829787234
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,自民,事業者への支援,1,47,0.02127659574468085
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,立民,賃上げ環境の整備,17,43,0.3953488372093023
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,立民,家計への支援,15,43,0.3488372093023256
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,立民,減税,6,43,0.13953488372093023
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,立民,低所得世帯への支援,5,43,0.11627906976744186
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,国民,減税,7,16,0.4375
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,国民,賃上げ環境の整備,5,16,0.3125
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,国民,家計への支援,3,16,0.1875
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,国民,低所得世帯への支援,1,16,0.0625
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,維新,減税,14,15,0.9333333333333333
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,維新,賃上げ環境の整備,1,15,0.06666666666666667
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,れいわ,減税,7,7,1.0
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,参政,減税,1,1,1.0
4,物価高騰対策で最優先すべきこと,物価高騰対策として、いま政府が最優先で取り組むべきことは、次のうちどれだと考えますか。,共産,賃上げ環境の整備,1,1,1.0
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,自民,回答なし,42,47,0.8936170212765957
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,自民,回答しない,5,47,0.10638297872340426
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,立民,回答なし,34,43,0.7906976744186046
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,立民,回答しない,9,43,0.20930232558139536
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,国民,回答なし,16,16,1.0
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,維新,回答しない,9,15,0.6
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,維新,回答なし,6,15,0.4
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,れいわ,回答なし,7,7,1.0
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,参政,回答しない,1,1,1.0
5,基礎的財政収支　黒字化への考え方,政府は、政策にあてる経費を借金に頼らず税収などでどれだけまかなえるかを示す「基礎的財政収支」を、来年度に黒字化する目標を掲げています。これについて、あなたの考えはどちらに近いですか。,共産,回答しない,1,1,1.0
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,自民,回答しない,19,47,0.40425531914893614
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,自民,賛成,17,47,0.3617021276595745
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,自民,反対,11,47,0.23404255319148937
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,立民,賛成,41,43,0.9534883720930233
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,立民,回答しない,2,43,0.046511627906976744
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,国民,賛成,11,16,0.6875
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,国民,回答しない,4,16,0.25
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,国民,反対,1,16,0.0625
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,維新,反対,11,15,0.7333333333333333
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,維新,回答しない,4,15,0.26666666666666666
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,れいわ,賛成,7,7,1.0
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,参政,回答しない,1,1,1.0
6,大企業・富裕層への課税強化賛否,大企業や所得が多い人への課税を強化し、国の財源にあてることに賛成ですか。反対ですか。,共産,賛成,1,1,1.0
7,社会保険料負担への考え方,少子高齢化が進む中での社会保険料の負担のあり方について、あなたの考えに最も近いものはどれですか。,自民,その他,22,47,0.46808510638297873
7,社会保険料負担への考え方,少子高齢化が進む中での社会保険料の負担のあり方について、あなたの考えに最も近いものはどれですか。,自民,所得が多い人の負担を増やすべき,15,47,0.3191489361702128
7,社会保険料負担への考え方,少子高齢化が進む中での社会保険料の負担のあり方について、あなたの考えに最も近いものはどれですか。,自民,給付を抑制して、負担を増やさないようにすべき,5,47,0.10638297872340426
7,社会保険料負担への考え方,少子高齢化が進む中での社会保険料の負担のあり方について、あなたの考えに最も近いものはどれですか。,自民,回答しない,4,47,0.0851063829787234
